track_number,timestamp,timestamp_seconds,artist,title,label,video_title,video_url,video_id,upload_date,category
28,1:41:06,6066,Ital & Amplify,The Catalyst,Digital Om,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
29,1:45:02,6302,Avalon & Faders,Afterlife,Nano Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
30,1:49:12,6552,Avalon,Revolution (NoFace rmx),Sacred Technology,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
31,1:53:10,6790,Enigma & Overdrive,Space Program,Dacru Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
32,1:57:09,7029,Magik,Moonlight Kite (GMS rmx),Nano Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
33,2:00:38,7238,Akasha & Audiosonic,Don't Lose Your Head,United Beats Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
34,2:05:03,7503,Avan7 & Spectra Sonics,Far Future,Sonoora Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
35,2:08:52,7732,Killerwatts(Tristan & Avalon) & Alienatic,Freaky Family (GMS rmx),Nano Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
36,2:11:41,7901,Hydera,Message from the Future,Profound Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
37,2:14:52,8092,Unstable & X-Side,Brighter Future,Tip Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
38,2:18:49,8329,Acid Punks(Ace Ventura and Outsiders) & Fungus Funk,Fungus Punk,Mutant Disco Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
39,2:22:33,8553,Vini Vici & Giorgia Angiuli & Volcano On Mars,All One (Extended mix),Alteza Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
40,2:26:37,8797,Transient Disorder & X-Side,What Are Psychedelics,Dacru Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
41,2:30:07,9007,Magik,Buoyancy (Volcano rmx),Sacred Technology,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
42,2:34:16,9256,Etnica,Vimana (Acid Punks rmx),Mutant Disco Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
43,2:37:58,9478,Audiosonic & FNX,Turn On,Profound Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
44,2:42:32,9752,Spectra Sonics,Psychedelic Renaissance,Shamanic Tales,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
1,00:00,0,Akratas,Quantum Level,,Full-On Psytrance mix August 2025 (full on psychedelic Trance)  146-148 bpm,https://youtube.com/watch?v=gmJJJp2S_zY,gmJJJp2S_zY,2025-08-21,Psychedelic Trance
2,05:08,308,Spectra Sonics & Xipe Totecs,Skittles Sours,Shamanic Tales,Full-On Psytrance mix August 2025 (full on psychedelic Trance)  146-148 bpm,https://youtube.com/watch?v=gmJJJp2S_zY,gmJJJp2S_zY,2025-08-21,Psychedelic Trance
3,09:16,556,Tristan & Volcano On Mars,Real World,Sacred Technology,Full-On Psytrance mix August 2025 (full on psychedelic Trance)  146-148 bpm,https://youtube.com/watch?v=gmJJJp2S_zY,gmJJJp2S_zY,2025-08-21,Psychedelic Trance
4,12:18,738,Avan7,Digital Immortality,Sonoora Records,Full-On Psytrance mix August 2025 (full on psychedelic Trance)  146-148 bpm,https://youtube.com/watch?v=gmJJJp2S_zY,gmJJJp2S_zY,2025-08-21,Psychedelic Trance
5,15:40,940,Outside Range,Jungle Demon,Dacru Records,Full-On Psytrance mix August 2025 (full on psychedelic Trance)  146-148 bpm,https://youtube.com/watch?v=gmJJJp2S_zY,gmJJJp2S_zY,2025-08-21,Psychedelic Trance
6,20:01,1201,Djantrix,Shine,Digital Om,Full-On Psytrance mix August 2025 (full on psychedelic Trance)  146-148 bpm,https://youtube.com/watch?v=gmJJJp2S_zY,gmJJJp2S_zY,2025-08-21,Psychedelic Trance
7,23:46,1426,Mandala,See The Wonder,Nano Records,Full-On Psytrance mix August 2025 (full on psychedelic Trance)  146-148 bpm,https://youtube.com/watch?v=gmJJJp2S_zY,gmJJJp2S_zY,2025-08-21,Psychedelic Trance
8,28:03,1683,Jumpstreet & Art Materials,Rave Psalm,Looney Moon Records,Full-On Psytrance mix August 2025 (full on psychedelic Trance)  146-148 bpm,https://youtube.com/watch?v=gmJJJp2S_zY,gmJJJp2S_zY,2025-08-21,Psychedelic Trance
